pre,post,weight
720575940627402568,720575940614635175,62
720575940612920386,720575940620553094,61
720575940611849178,720575940614635175,58
720575940624079544,720575940620553094,57
720575940614211295,720575940614635175,55
720575940614211295,720575940620553094,54
720575940627402568,720575940620553094,51
720575940612920386,720575940614635175,49
720575940643065032,720575940614635175,49
720575940611849178,720575940620553094,45
720575940643065032,720575940620553094,44
720575940610683315,720575940620553094,43
720575940624079544,720575940614635175,42
720575940638813016,720575940614635175,41
720575940614211295,720575940624234254,41
720575940628198503,720575940614635175,39
720575940626016017,720575940620553094,38
720575940621375231,720575940620553094,35
720575940628198503,720575940620553094,33
720575940610683315,720575940614635175,32
720575940638218173,720575940620553094,31
720575940611849178,720575940616759014,31
720575940637747519,720575940620553094,30
720575940637747519,720575940614635175,30
720575940624079544,720575940624234254,28
720575940625450498,720575940614635175,28
720575940638813016,720575940620553094,28
720575940625450498,720575940620553094,27
720575940621375231,720575940614635175,26
720575940627402568,720575940616759014,25
720575940624079544,720575940637956698,24
720575940628198503,720575940637956698,24
720575940643065032,720575940616759014,23
720575940612920386,720575940624234254,23
720575940621898665,720575940614635175,22
720575940631082124,720575940614635175,22
720575940621898665,720575940620553094,22
720575940628198503,720575940624234254,22
720575940625696601,720575940620553094,21
720575940638218173,720575940614635175,20
720575940627438906,720575940614635175,20
720575940626016017,720575940614635175,20
720575940638813016,720575940616759014,20
720575940627438906,720575940620553094,20
720575940625696601,720575940616759014,19
720575940638218173,720575940631082124,19
720575940631082124,720575940620553094,18
720575940638813016,720575940623207885,18
720575940625696601,720575940614635175,17
720575940637747519,720575940616759014,17
720575940625450498,720575940616759014,17
720575940627438906,720575940617299515,15
720575940625696601,720575940623207885,13
720575940621375231,720575940631082124,12
720575940610683315,720575940631082124,12
720575940610683315,720575940624234254,12
720575940631082124,720575940624234254,12
720575940627438906,720575940616759014,11
720575940621375231,720575940628683063,11
720575940626016017,720575940614128691,11
720575940625450498,720575940617299515,11
720575940614211295,720575940637956698,11
720575940638218173,720575940624234254,11
720575940638218173,720575940614128691,11
720575940614211295,720575940628198503,10
720575940614211295,720575940624079544,10
720575940626016017,720575940628683063,9
720575940612920386,720575940637956698,9
720575940612920386,720575940628198503,9
720575940643065032,720575940611411057,8
720575940626016017,720575940634090777,8
720575940621375231,720575940624234254,8
720575940631082124,720575940631448874,7
720575940621375231,720575940634090777,7
720575940621898665,720575940617299515,7
720575940610683315,720575940628683063,7
720575940611849178,720575940623207885,7
720575940624079544,720575940631448874,7
720575940625696601,720575940626941080,6
720575940626016017,720575940635642725,6
720575940627402568,720575940623207885,6
720575940611849178,720575940624234254,6
720575940628198503,720575940631448874,6
720575940625450498,720575940623507273,6
720575940611849178,720575940623507273,6
720575940610683315,720575940619034782,6
720575940614211295,720575940619034782,6
720575940610683315,720575940624079544,6
720575940621898665,720575940623507273,5
720575940638813016,720575940624266061,5
720575940627402568,720575940624234254,5
720575940627438906,720575940623507273,5
720575940614211295,720575940613524973,5
720575940614211295,720575940616759014,5
720575940626016017,720575940624234254,5
720575940612920386,720575940616759014,5
720575940624079544,720575940616759014,5
720575940610683315,720575940623696362,5
720575940610683315,720575940627709956,5
720575940638218173,720575940619034782,5
720575940628198503,720575940610956334,5
720575940612920386,720575940624079544,5
720575940610683315,720575940628198503,5
720575940621375231,720575940628198503,5
720575940631448874,720575940630342364,145
720575940611411057,720575940627110824,70
720575940635642725,720575940622495401,58
720575940631448874,720575940640872923,56
720575940624234254,720575940604516524,53
720575940611411057,720575940622495401,46
720575940619034782,720575940624247787,37
720575940635642725,720575940627110824,33
720575940623696362,720575940616127931,29
720575940614128691,720575940631448874,29
720575940623507273,720575940624247787,25
720575940623207885,720575940629013199,22
720575940631448874,720575940621257340,21
720575940616759014,720575940604516524,21
720575940611411057,720575940613511987,20
720575940624266061,720575940617898456,19
720575940614635175,720575940637686750,19
720575940620553094,720575940626190794,19
720575940620553094,720575940637686750,18
720575940627709956,720575940614137651,16
720575940617299515,720575940629013199,13
720575940634090777,720575940626190794,11
720575940626941080,720575940617898456,11
720575940614635175,720575940626190794,10
720575940626941080,720575940623079095,10
720575940624266061,720575940620038433,9
720575940610956334,720575940628771587,9
720575940616759014,720575940621569635,8
720575940624234254,720575940626446850,8
720575940631448874,720575940604395436,7
720575940624234254,720575940604395436,7
720575940637956698,720575940630342364,7
720575940616759014,720575940617406548,7
720575940624234254,720575940628351217,7
720575940635642725,720575940647473796,7
720575940631448874,720575940613316783,6
720575940624234254,720575940637878854,6
720575940613524973,720575940604395436,6
720575940613524973,720575940620122503,6
720575940611411057,720575940630606444,5
720575940624234254,720575940621569635,5
720575940616759014,720575940637878854,5
720575940624234254,720575940617406548,5
720575940635642725,720575940631486765,5
720575940627709956,720575940620122503,5
720575940626941080,720575940632603548,5
720575940628683063,720575940622319715,5
720575940611411057,720575940626617914,5
720575940630342364,720575940613316783,83
720575940614137651,720575940640872923,37
720575940629013199,720575940632512156,37
720575940630342364,720575940642312136,36
720575940630606444,720575940642312136,32
720575940647473796,720575940613316783,30
720575940628351217,720575940640872923,23
