root_id,group
720575940621375231,Ir94e
720575940638218173,Ir94e
720575940626016017,Ir94e
720575940631082124,Ir94e
720575940610683315,Ir94e
720575940612920386,Ir94e
720575940614211295,Ir94e
720575940624079544,Ir94e
720575940628198503,Ir94e
720575940627438906,Ir94e
720575940625450498,Ir94e
720575940621898665,Ir94e
720575940627402568,Ir94e
720575940643065032,Ir94e
720575940611849178,Ir94e
720575940637747519,Ir94e
720575940625696601,Ir94e
720575940638813016,Ir94e
720575940632512156,OviDN
720575940620625880,OviDN
720575940621257340,OviDN
720575940627921182,OviDN
720575940642312136,OviDN
720575940629861163,Earmuff
720575940617671285,GNG.SLP.T1 (L)
720575940616759014,GNG.SLP.T1 (R)
720575940619034782,GNG.SLP.T2 (L)
720575940623507273,GNG.SLP.T2 (R)
720575940637878854,Stanley ACh interneuron
720575940617406548,Stanley ACh interneuron
720575940616187754,Stanley ACh interneuron
720575940621698542,Stanley ACh interneuron
720575940604395436,Stanley ACh interneuron
720575940631371991,Stanley Glu interneuron
720575940624247787,Stanley Glu interneuron
720575940637861294,Stanley Glu interneuron
720575940604891360,1° Unknown
720575940605040300,2° GLUT interneuron
720575940608471900,2° Unknown
720575940610956334,1° GABA interneuron
720575940611411057,1° GABA interneuron
720575940612490958,2° ACH interneuron
720575940612708374,2° GLUT interneuron
720575940613511987,2° GLUT interneuron
720575940613524973,1° ACH interneuron
720575940614128691,1° ACH interneuron
720575940614635175,CB0159
720575940615626018,2° GABA interneuron
720575940616127931,2° ACH interneuron
720575940616404820,1° GLUT interneuron
720575940617299515,1° ACH interneuron
720575940617539355,1° GABA interneuron
720575940617898456,2° GABA interneuron
720575940620038433,2° GABA interneuron
720575940620122503,2° ACH interneuron
720575940620157787,2° GLUT interneuron
720575940620445062,VP5+Z_adPN
720575940620553094,CB0159
720575940620670657,2° ACH interneuron
720575940622151704,2° ACH interneuron
720575940622319715,2° Unknown
720575940622335197,1° ACH interneuron
720575940622495401,2° ACH interneuron
720575940622695448,1° GABA interneuron
720575940623079095,2° GABA interneuron
720575940623207885,1° Unknown
720575940623393357,2° GLUT interneuron
720575940623696362,1° GABA interneuron
720575940624007207,2° GLUT interneuron
720575940624266061,1° ACH interneuron
720575940624928284,1° GABA interneuron
720575940625005239,2° GABA interneuron
720575940625310014,1° ACH interneuron
720575940626132030,2° GLUT interneuron
720575940626617914,2° GLUT interneuron
720575940626622339,1° GABA interneuron
720575940626941080,1° GABA interneuron
720575940627110824,2° ACH interneuron
720575940627444490,1° GABA interneuron
720575940628683063,1° ACH interneuron
720575940628771587,2° GLUT interneuron
720575940629013199,2° GABA interneuron
720575940630546540,2° ACH interneuron
720575940630606444,2° GABA interneuron
720575940631275601,2° ACH interneuron
720575940631486765,2° GLUT interneuron
720575940632556831,2° ACH interneuron
720575940632603548,2° GABA interneuron
720575940633926295,2° ACH interneuron
720575940634090777,1° GABA interneuron
720575940635210859,1° SER interneuron
720575940635642725,1° GABA interneuron
720575940635807130,2° GABA interneuron
720575940636990064,2° Unknown
720575940637686750,2° GABA interneuron
720575940637763135,1° GABA interneuron
720575940637956698,1° ACH interneuron
720575940641284853,1° GLUT interneuron
720575940642335373,1° GABA interneuron
720575940642495176,2° ACH interneuron
720575940645503854,1° ACH interneuron
720575940647473796,2° GABA interneuron
720575940649812857,2° ACH interneuron
