pre_root_id,post_root_id,nt_type,syn_count
720575940604395436,720575940620625880,ACH,7
720575940604395436,720575940621257340,ACH,11
720575940604395436,720575940642312136,ACH,5
720575940604891360,720575940629013199,GABA,6
720575940605040300,720575940642312136,GLUT,11
720575940608471900,720575940632512156,GABA,9
720575940610683315,720575940614128691,ACH,5
720575940610683315,720575940614635175,ACH,47
720575940610683315,720575940617671285,ACH,19
720575940610683315,720575940619034782,ACH,6
720575940610683315,720575940620553094,ACH,61
720575940610683315,720575940623696362,ACH,7
720575940610683315,720575940624079544,ACH,10
720575940610683315,720575940628198503,ACH,10
720575940610683315,720575940628683063,ACH,6
720575940610683315,720575940631082124,ACH,29
720575940610683315,720575940634090777,ACH,10
720575940610683315,720575940637956698,ACH,5
720575940610683315,720575940638218173,ACH,19
720575940610683315,720575940642335373,ACH,9
720575940610956334,720575940628771587,GABA,11
720575940611411057,720575940613511987,GABA,22
720575940611411057,720575940622495401,GABA,61
720575940611411057,720575940626617914,GABA,6
720575940611411057,720575940627110824,GABA,78
720575940611411057,720575940630606444,GABA,7
720575940611849178,720575940611411057,ACH,5
720575940611849178,720575940614635175,ACH,73
720575940611849178,720575940616759014,ACH,43
720575940611849178,720575940617671285,ACH,8
720575940611849178,720575940620553094,ACH,54
720575940611849178,720575940623207885,ACH,8
720575940611849178,720575940623507273,ACH,7
720575940611849178,720575940625310014,ACH,22
720575940612490958,720575940620625880,ACH,6
720575940612490958,720575940621257340,ACH,32
720575940612490958,720575940627921182,ACH,106
720575940612490958,720575940642312136,ACH,58
720575940612708374,720575940627921182,GLUT,6
720575940612920386,720575940614635175,ACH,65
720575940612920386,720575940616759014,ACH,7
720575940612920386,720575940617671285,ACH,38
720575940612920386,720575940620553094,ACH,86
720575940612920386,720575940624079544,ACH,15
720575940612920386,720575940628198503,ACH,29
720575940612920386,720575940631082124,ACH,9
720575940612920386,720575940637956698,ACH,16
720575940612920386,720575940638218173,ACH,7
720575940613511987,720575940642312136,GLUT,5
720575940613524973,720575940604395436,ACH,5
720575940613524973,720575940612490958,ACH,6
720575940613524973,720575940620122503,ACH,6
720575940613524973,720575940626132030,ACH,5
720575940613524973,720575940629861163,ACH,6
720575940614128691,720575940620445062,ACH,6
720575940614128691,720575940625005239,ACH,5
720575940614128691,720575940629013199,ACH,7
720575940614128691,720575940629861163,ACH,36
720575940614211295,720575940613524973,ACH,6
